filename,Key Skills,Overall Analysis,Certifications & Courses,Relevant Projects,Soft Skills,Overall Match Score,Projects Relevance Score,Experience Relevance Score,Final Score,Relative Ranking Score
resume_a951d7b70a.pdf,"['Python', 'SQL', 'Jenkins', 'Postman', 'Jira', 'Java', 'SQL', 'HTML', 'CSS']","The candidate has a strong technical background in backend development, software quality assurance, and testing, which is not directly aligned with the responsibilities of a CV Intern role. The candidate's skills in English writing, editing, and communication are not clearly highlighted in the provided resume.","['Google Associate Cloud Engineer (GCP-ACE)', 'The Joy of Computing using Python by NPTEL', 'SQL Essentials']","['Design Project: e-Farming', 'Autonomous Paper Evaluation System']","['Good Problem Solving, Communication, and Teamwork']",4.0,5,3,600,100.0
resume_b1b41de95b.pdf,"['Writing', 'Editing', 'MS Word', 'Google Docs', 'Communication', 'Teamwork']","The candidate has a strong foundation in technical skills such as Python, HTML, JavaScript, MySQL, and Machine Learning, which are not directly mentioned in the job description but demonstrate strong technical competency. The resume lacks direct experience in writing and editing CVs and cover letters, which are key responsibilities for the CV Intern role. The candidate also has limited experience in understanding industry-specific requirements, which is a key skill for the job.",[],"['Farmers Management System: Developed a full-stack system using Python, HTML, CSS, JavaScript, MySQL, Django, Flask, Git, and Docker.', 'E-NAM Agriculture App: Developed an application with data visualization and analytics features using Python.', 'Sign Language Translator: Built a machine learning-based system for translating ASL gestures into text using Random Forest algorithm.']","['Teamwork', 'Communication']",3.0,6,2,600,100.0
resume_c87dc59925.pdf,"['Java proficiency', 'Problem-solving skills', 'Team collaboration', 'Technical expertise', 'Adaptability', 'Meeting deadlines', 'HTML, Tailwind, JavaScript, Spring Boot, React.js']","Krishna Bhagat's resume emphasizes technical skills in computer science, particularly in Java and related technologies. However, the provided resume is not directly aligned with the job description for a CV Intern role, which focuses on writing, editing, and formatting CVs and cover letters, as well as understanding industry-specific keywords and trends. Krishna's technical expertise does not match well with the required skills for this role.",[],"[{'Project Name': 'Real-Time Group Chat Application', 'Relevance': 'Low. This project showcases technical skills in programming but has no relation to CV writing and editing.'}, {'Project Name': 'Music App', 'Relevance': 'Low. This project focuses on Android development and has no direct correlation to CV or resume skills.'}, {'Project Name': 'Air-Journey Game', 'Relevance': 'Low.This project is a technical exercise with no relevance to CV writing and editing.'}]","['Team collaboration', 'Adaptability', 'Meeting deadlines']",4.0,2,6,600,100.0
resume_b68667107d.pdf,"['Writing', 'Editing', 'Research', 'Customer Communication', 'Team Collaboration', 'Document Formatting', 'Basic MS Word', 'Google Docs']","Uday's resume demonstrates strong proficiency in technical fields such as data science, machine learning, and cloud technologies. However, the job role of a CV intern focuses more on writing, editing, and formatting CVs, which is not extensively highlighted in the candidate's resume. While Uday has strong technical and project management skills, it is not apparent that he has relevant experience or certification in the core responsibilities required for the CV intern role.","['AWS Cloud Essentials', 'Responsive Web Design', 'Scientific Computing with Python', 'Machine Learning with Python', 'JavaScript Algorithms and Data Structures', 'Data Visualization', 'Data Analysis with Python', 'Data Structures Using Python', 'Master Class on Data Science using Python A-Z for Machine Learning', 'Python Foundation Certification']",[],"['Communication', 'Teamwork']",4.0,0,6,450,75.0
resume_c73713db85.pdf,"['Strong English writing and editing skills', 'Attention to detail and accuracy', 'Good communication and teamwork skills']","The candidate does not meet the educational background required for the position. The provided projects and certifications do not align well with the job description. Therefore, there is a significant mismatch between the job requirements and the candidate's profile.",['Certified in Data-analytics (using Excel'],"['IOT solutions for Senior Care', 'Audio Source Separation using python and ML']","['Good communication skills', 'Teamwork skills']",4.0,4,2,450,75.0
resume_ca451d50da.pdf,[],"The resume is not a good match for the CV Intern position. The candidate's focus is on technical and data-science-related skills, which are not aligned with the required skills for the role.",[],[],[],3.0,3,3,450,75.0
resume_a7d66f7ef8.pdf,"['Python', 'SQL', 'AI frameworks', 'Software Development', 'HTML', 'CSS', 'JavaScript', 'Flask']","The candidate has strong technical skills in software development and machine learning but lacks relevant experience and skills in CV writing, editing, and industry-specific keyword research. They have strong English writing skills and technical knowledge but lack the specific skills required for CV optimization and client communication.","['Introduction to Machine Learning Course on Datacamps(2023)', 'Introduction to Deep Learning Course on Datacamps(2024)']","['Churn Prediction ML Model (2024)', 'Smart Pill Dispenser (2024)', 'Leave Management System (2024)']","['Attention to detail and accuracy', 'Good communication and teamwork skills']",4.0,2,3,375,62.5
resume_ac449e7922.pdf,"['English writing and editing', 'Communication', 'Teamwork', 'Attention to detail']","The candidate has strong technical skills in Computer Science and Artificial Intelligence, but the resume does not highlight relevant skills or experience for a CV Intern position. The focus is more on technical and AI-related projects, which are not directly related to CV writing and resume optimization.","['Deep Learning for Developers', 'Generative models for developers', 'The Python Fundamentals']",[],['Teamwork'],3.5,5,0,375,62.5
resume_b07fff9e18.pdf,"['Coding Skills', 'Technical skills', 'Ansys HFSS', 'AutoCAD', 'LtSpice']","The applicant has a background in Electronics And Communication Engineering with relevant technical skills. However, the key skills and experience listed do not directly align with the requirements of the CV Intern position. There is a focus on technical and coding skills, which do not match the job's emphasis on writing, editing, and clientele communication.",[],"['Created and edited content for social media platforms.', 'Managed social media campaigns using Instagram Analytics to boost brands and engagement for startups.']","['Social media management', 'Brand engagement', 'Communication']",1.0,3,2,375,62.5
resume_b1d57529d6.pdf,"['Python', 'Natural Language Processing', 'Computer Vision', 'Data Structures', 'Algorithms']",Ankit Raj has a background in Computer Science with a strong focus on AI-driven solutions and natural language processing. His projects show proficiency in Python and relevant AI technologies but do not directly align with the writing and editing skills required for the CV Intern position.,[],[],"['Communication', 'Teamwork']",4.0,2,3,375,62.5
resume_b483f9d365.pdf,"['Python', 'Machine Learning', 'Deep Learning', 'AWS Services']","The candidate has a strong academic background in Artificial Intelligence and several relevant projects. However, the job description requires strong English writing and editing skills, attention to detail, and an understanding of different industry requirements, which are not evident in the resume. The candidate's technical skills and projects are highly advanced but not directly relevant to the CV Intern role as described.",['Certified Oracle Cloud Infrastructure 2024 Generative AI Professional'],[],"['Communication', 'Teamwork', 'Leadership', 'Facilitation']",4.0,2,3,375,62.5
resume_bcd4adcbdc.pdf,"['Python', 'C/C++', 'Machine Learning', 'Model Sim', 'CARLA', 'FIGMA', 'Xilinx', 'Proteus', 'Problem-solving', 'Analytical Thinking', 'Leadership', 'Public Speaking', 'Group Discussion']","While the candidate possesses excellent technical skills and experience in programming and machine learning, they lack direct experience in writing and editing professional CVs, which is a core requirement of the CV Intern position. The candidate's focus on technical skills does not align well with the job description, which emphasizes communication, client interaction, and writing/editing for resume optimization.",[],"['Diabetes Prediction Model', 'Optimizing Automated Vehicle Path Planning on Adverse Weather Conditions', 'Smart Energy Monitor']","['Strong leadership', 'Excellent communication', 'Effective teamwork']",3.0,2,3,375,62.5
resume_c5bc434afc.pdf,[],"Aaditya Yadav's resume is welletailed and shows strong technical skills in software development and backend technologies, such as Spring Boot, Java, MySQL, and RESTful APIs. However, the resume does not match well with the CV Intern position, as it heavily focuses on technical development projects rather than writing, editing, and communication skills required for the CV Intern role.",[],"['CarCaddy - Car Rental Automation System', 'Delivery Route Optimization']","['Teamwork', 'Communication']",3.0,2,3,375,62.5
resume_c7672a8cc6.pdf,"['Python', 'Machine Learning', 'Deep Learning', 'SQL', 'Natural Language Processing', 'Signal Processing', 'Time Management', 'Verbal and Written Communication', 'Decision Making', 'Ethical Responsibility']","The candidate has strong technical skills related to programming, machine learning, and data processing. Non-technical skills are diverse and can be beneficial in a collaborative environment. However, there is a mismatch between the technical skills and the requirements of the CV Intern position.",[],"['Alzheimer’s Classification using EEG', 'Abusive Tamil and Malayalam Text Detection']","['Time Management', 'Verbal and Written Communication', 'Active Listening', 'Creative Thinking', 'Decision Making', 'Self-Motivation', 'Resilience', 'Ethical Responsibility']",6.0,2,3,375,62.5
resume_cb197aac7a.pdf,"['Python', 'Java', 'Linux', 'C', 'C++', 'Communication', 'Teamwork', 'Problem-Solving', 'Time management', 'Leadership']","The resume shows a strong technical background with a focus on Computer Science and relevant certifications. The soft skills mentioned align well with the requirements of the job, such as communication and teamwork. However, there is a lack of direct experience in creating and optimizing resumes, which is a key part of the internship role.","['PCAP – Python Certified Associate Programmer Certification', 'Udemy - Advanced C Programming']",[],"['Communication', 'Teamwork', 'Problem-Solving', 'Time management', 'Leadership']",5.0,2,3,375,62.5
resume_ae668809a6.pdf,"['Java', 'Full-stack development', 'AWS Cloud', 'Problem-solving', 'Collaboration', 'Teamwork']","The candidate's resume does not closely match the requirements for the CV Intern position. While they possess strong technical skills and certifications in cloud computing and full-stack development, these skills are not directly applicable to the job duties listed in the CV Intern position. The candidate's attention to detail, interpersonal skills, and technical writing abilities are only partially highlighted in the resume.","['AWS Certified Cloud Practitioner', 'Programming Using Java', 'Database Management System Part - 1', 'Google Cyber Security']",[],"['Strong interpersonal skills', 'Ability to solve problems collaboratively and independently']",3.0,2,2,300,50.0
resume_b34e85e44b.pdf,"['Python', 'C Programming', 'Full Stack Development']","Vishnu Sai Reddy Mooli's resume primarily focuses on technical skills and projects related to AI and ML, which have minimal direct relevance to the role of CV Intern. The resume does not highlight skills specifically related to writing, editing, industry-specific research, or document formatting. However, his strong communication skills may be valuable.",[],[],"['Strong English writing and communication skills', 'Teamwork']",3.0,2,2,300,50.0
